name	display_name	function_flags	group	input_names	output_flags	output_names	parameters
MIDPRICE	Midpoint Price over period	['Output scale same as input']	Overlap Studies	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
SAR	Parabolic SAR	['Output scale same as input']	Overlap Studies	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('acceleration', 0.02), ('maximum', 0.2)])
SAREXT	Parabolic SAR - Extended	['Output scale same as input']	Overlap Studies	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('startvalue', 0), ('offsetonreverse', 0), ('accelerationinitlong', 0.02), ('accelerationlong', 0.02), ('accelerationmaxlong', 0.2), ('accelerationinitshort', 0.02), ('accelerationshort', 0.02), ('accelerationmaxshort', 0.2)])
SMA	Simple Moving Average	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
T3	Triple Exponential Moving Average (T3)	['Output scale same as input', 'Function has an unstable period']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 5), ('vfactor', 0.7)])
TEMA	Triple Exponential Moving Average	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
TRIMA	Triangular Moving Average	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
WMA	Weighted Moving Average	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
AVGPRICE	Average Price	['Output scale same as input']	Price Transform	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
MEDPRICE	Median Price	['Output scale same as input']	Price Transform	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
TYPPRICE	Typical Price	['Output scale same as input']	Price Transform	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
WCLPRICE	Weighted Close Price	['Output scale same as input']	Price Transform	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
ACOS	Vector Trigonometric ACos		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
ASIN	Vector Trigonometric ASin		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
ATAN	Vector Trigonometric ATan		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
CEIL	Vector Ceil		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
COS	Vector Trigonometric Cos		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
COSH	Vector Trigonometric Cosh		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
EXP	Vector Arithmetic Exp		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
FLOOR	Vector Floor		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
LN	Vector Log Natural		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
LOG10	Vector Log10		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
SIN	Vector Trigonometric Sin		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
SINH	Vector Trigonometric Sinh		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
SQRT	Vector Square Root		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
TAN	Vector Trigonometric Tan		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
TANH	Vector Trigonometric Tanh		Math Transform	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
BETA	Beta		Statistic Functions	OrderedDict([('price0', 'high'), ('price1', 'low')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 5)])
CORREL	Pearson's Correlation Coefficient (r)		Statistic Functions	OrderedDict([('price0', 'high'), ('price1', 'low')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
LINEARREG	Linear Regression	['Output scale same as input']	Statistic Functions	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
LINEARREG_ANGLE	Linear Regression Angle		Statistic Functions	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
LINEARREG_INTERCEPT	Linear Regression Intercept	['Output scale same as input']	Statistic Functions	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
LINEARREG_SLOPE	Linear Regression Slope		Statistic Functions	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
STDDEV	Standard Deviation		Statistic Functions	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 5), ('nbdev', 1)])
TSF	Time Series Forecast	['Output scale same as input']	Statistic Functions	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
VAR	Variance		Statistic Functions	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 5), ('nbdev', 1)])
ADX	Average Directional Movement Index	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
ADXR	Average Directional Movement Index Rating	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
APO	Absolute Price Oscillator		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('fastperiod', 12), ('slowperiod', 26), ('matype', 0)])
AROON	Aroon		Momentum Indicators	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('aroondown', ['Dashed Line']), ('aroonup', ['Line'])])	['aroondown', 'aroonup']	OrderedDict([('timeperiod', 14)])
AROONOSC	Aroon Oscillator		Momentum Indicators	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
BOP	Balance Of Power		Momentum Indicators	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
CCI	Commodity Channel Index		Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
CMO	Chande Momentum Oscillator	['Function has an unstable period']	Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
DX	Directional Movement Index	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
MACD	Moving Average Convergence/Divergence		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('macd', ['Line']), ('macdsignal', ['Dashed Line']), ('macdhist', ['Histogram'])])	['macd', 'macdsignal', 'macdhist']	OrderedDict([('fastperiod', 12), ('slowperiod', 26), ('signalperiod', 9)])
MACDEXT	MACD with controllable MA type		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('macd', ['Line']), ('macdsignal', ['Dashed Line']), ('macdhist', ['Histogram'])])	['macd', 'macdsignal', 'macdhist']	OrderedDict([('fastperiod', 12), ('fastmatype', 0), ('slowperiod', 26), ('slowmatype', 0), ('signalperiod', 9), ('signalmatype', 0)])
MACDFIX	Moving Average Convergence/Divergence Fix 12/26		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('macd', ['Line']), ('macdsignal', ['Dashed Line']), ('macdhist', ['Histogram'])])	['macd', 'macdsignal', 'macdhist']	OrderedDict([('signalperiod', 9)])
MFI	Money Flow Index	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close', 'volume'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
MINUS_DI	Minus Directional Indicator	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
MINUS_DM	Minus Directional Movement	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
MOM	Momentum		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 10)])
PLUS_DI	Plus Directional Indicator	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
PLUS_DM	Plus Directional Movement	['Function has an unstable period']	Momentum Indicators	OrderedDict([('prices', ['high', 'low'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
PPO	Percentage Price Oscillator		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('fastperiod', 12), ('slowperiod', 26), ('matype', 0)])
ROC	Rate of change : ((price/prevPrice)-1)*100		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 10)])
ROCP	Rate of change Percentage: (price-prevPrice)/prevPrice		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 10)])
ROCR	Rate of change ratio: (price/prevPrice)		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 10)])
ROCR100	Rate of change ratio 100 scale: (price/prevPrice)*100		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 10)])
RSI	Relative Strength Index	['Function has an unstable period']	Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
STOCH	Stochastic		Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('slowk', ['Dashed Line']), ('slowd', ['Dashed Line'])])	['slowk', 'slowd']	OrderedDict([('fastk_period', 5), ('slowk_period', 3), ('slowk_matype', 0), ('slowd_period', 3), ('slowd_matype', 0)])
STOCHF	Stochastic Fast		Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('fastk', ['Line']), ('fastd', ['Line'])])	['fastk', 'fastd']	OrderedDict([('fastk_period', 5), ('fastd_period', 3), ('fastd_matype', 0)])
STOCHRSI	Stochastic Relative Strength Index	['Function has an unstable period']	Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('fastk', ['Line']), ('fastd', ['Line'])])	['fastk', 'fastd']	OrderedDict([('timeperiod', 14), ('fastk_period', 5), ('fastd_period', 3), ('fastd_matype', 0)])
TRIX	1-day Rate-Of-Change (ROC) of a Triple Smooth EMA		Momentum Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
ULTOSC	Ultimate Oscillator		Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod1', 7), ('timeperiod2', 14), ('timeperiod3', 28)])
WILLR	Williams' %R		Momentum Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
CDL2CROWS	Two Crows	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDL3BLACKCROWS	Three Black Crows	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDL3INSIDE	Three Inside Up/Down	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDL3LINESTRIKE	Three-Line Strike 	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDL3OUTSIDE	Three Outside Up/Down	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDL3STARSINSOUTH	Three Stars In The South	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDL3WHITESOLDIERS	Three Advancing White Soldiers	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLABANDONEDBABY	Abandoned Baby	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('penetration', 0.3)])
CDLADVANCEBLOCK	Advance Block	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLBELTHOLD	Belt-hold	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLBREAKAWAY	Breakaway	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLCLOSINGMARUBOZU	Closing Marubozu	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLCONCEALBABYSWALL	Concealing Baby Swallow	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLCOUNTERATTACK	Counterattack	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLDARKCLOUDCOVER	Dark Cloud Cover	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('penetration', 0.5)])
CDLDOJI	Doji	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLDOJISTAR	Doji Star	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLDRAGONFLYDOJI	Dragonfly Doji	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLENGULFING	Engulfing Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLEVENINGDOJISTAR	Evening Doji Star	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('penetration', 0.3)])
CDLEVENINGSTAR	Evening Star	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('penetration', 0.3)])
CDLGAPSIDESIDEWHITE	Up/Down-gap side-by-side white lines	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLGRAVESTONEDOJI	Gravestone Doji	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHAMMER	Hammer	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHANGINGMAN	Hanging Man	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHARAMI	Harami Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHARAMICROSS	Harami Cross Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHIGHWAVE	High-Wave Candle	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHIKKAKE	Hikkake Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHIKKAKEMOD	Modified Hikkake Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLHOMINGPIGEON	Homing Pigeon	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLIDENTICAL3CROWS	Identical Three Crows	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLINNECK	In-Neck Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLINVERTEDHAMMER	Inverted Hammer	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLKICKING	Kicking	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLKICKINGBYLENGTH	Kicking - bull/bear determined by the longer marubozu	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLLADDERBOTTOM	Ladder Bottom	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLLONGLEGGEDDOJI	Long Legged Doji	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLLONGLINE	Long Line Candle	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLMARUBOZU	Marubozu	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLMATCHINGLOW	Matching Low	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLMATHOLD	Mat Hold	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('penetration', 0.5)])
CDLMORNINGDOJISTAR	Morning Doji Star	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('penetration', 0.3)])
CDLMORNINGSTAR	Morning Star	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('penetration', 0.3)])
CDLONNECK	On-Neck Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
